text_id,text,sentences,label
15641,Чому у вас досі висить на стіні цитата Достоєвського?,"[""Чому у вас досі висить на стіні цитата Достоєвського?""]",Complaint / Dissatisfaction
1774,"Лисяк топ препод, а буфет і справді дорогий. Коротше коледж імені Рікардо Мілоса Топ","[""Лисяк топ препод, а буфет і справді дорогий."", ""Коротше коледж імені Рікардо Мілоса Топ""]",Gratitude / Positive Feedback
16625,"Якщо відвідуєте Чернівці, обов'язково заплануйте години 4 на цей університет. Екскурсії проводять 5 мовами. Люди підходять і з накопиченням груп, навіть невеликих підбирають екскурсовода.…","[""Якщо відвідуєте Чернівці, обов'язково заплануйте години 4 на цей університет."", ""Екскурсії проводять 5 мовами."", ""Люди підходять і з накопиченням груп, навіть невеликих підбирають екскурсовода.…""]",Suggestion / Idea
16094,"Чудова архітектура, сад. Вхід 20 грн, на жаль в середину університету ми не потрапили, були в неділю.","[""Чудова архітектура, сад."", ""Вхід 20 грн, на жаль в середину університету ми не потрапили, були в неділю.""]",Gratitude / Positive Feedback
10003307,500 тис в долярах це 13500 приблизно. Що можна купити на ці гроші?,"[""500 тис в долярах це 13500 приблизно."", ""Що можна купити на ці гроші?""]",Question / Request for Help
14866,"Сюди варто піднятися :-) Унікальні краєвиди, одна з найкращих наземних оглядових точок у Львові","[""Сюди варто піднятися :-) Унікальні краєвиди, одна з найкращих наземних оглядових точок у Львові""]",Suggestion / Idea
16859,Не всіма улюблене міське управління. але будівля красива,"[""Не всіма улюблене міське управління. але будівля красива""]",Neutral Comment
2651,Хочу у неділю прийти вигуляти собак. Дуже чекаю зустрічі!,"[""Хочу у неділю прийти вигуляти собак."", ""Дуже чекаю зустрічі!""]",Neutral Comment
3748,"Вперше скористалася послугами цієї компанії та не помилилася. Незважаючи на те, що я живу не в Харкові, мені надали послугу дуже оперативно та якісно. Особливо приємно те, що виконаний документ доставлений співробітниками компанії до місця призначення, не потрібно було їхати до них за результатом. А ціна взагалі здивувала. РЕКОМЕНДУЮ!","[""Вперше скористалася послугами цієї компанії та не помилилася."", ""Незважаючи на те, що я живу не в Харкові, мені надали послугу дуже оперативно та якісно."", ""Особливо приємно те, що виконаний документ доставлений співробітниками компанії до місця призначення, не потрібно було їхати до них за результатом."", ""А ціна взагалі здивувала."", ""РЕКОМЕНДУЮ!""]",Gratitude / Positive Feedback
2597,"Тут можна знайти гарного вихованця, якщо потрібно те й породистого, за тварину треба сплатити лише документи, щеплення та кастрацію.","[""Тут можна знайти гарного вихованця, якщо потрібно те й породистого, за тварину треба сплатити лише документи, щеплення та кастрацію.""]",Neutral Comment
15936,Красивий варто сходиди. Вхід з одної персони 50 грн. Також можна з гідом.,"[""Красивий варто сходиди."", ""Вхід з одної персони 50 грн. Також можна з гідом.""]",Suggestion / Idea
15830,Чернівецький національний університет імені Юрія Федьковича - один із найстаріших класичних університетів в Україні.Споруджений в <PHONE> рр. як резиденція митрополитів Буковини і Далмації за проектом відомого…,"[""Чернівецький національний університет імені Юрія Федьковича - один із найстаріших класичних університетів в Україні.Споруджений в <PHONE> рр. як резиденція митрополитів Буковини і Далмації за проектом відомого…""]",Neutral Comment
1419,Дуже добрий рівень знань! Після закінчення легко знайшла роботу за фахом. Відмінні викладачі.,"[""Дуже добрий рівень знань!"", ""Після закінчення легко знайшла роботу за фахом."", ""Відмінні викладачі.""]",Gratitude / Positive Feedback
10004776,"Ось зробимо ' сіру зону у напрямку Бєлгородщіни, тоді і Циркунам і іншим регіонам Харківської області буде полегше","[""Ось зробимо ' сіру зону у напрямку Бєлгородщіни, тоді і Циркунам і іншим регіонам Харківської області буде полегше""]",Suggestion / Idea
11853,Хочу задати питання в ліцеї є навчання на сварщика?,"[""Хочу задати питання в ліцеї є навчання на сварщика?""]",Question / Request for Help
10005075,"Як отримати грошову допомогу на ремонт пошкодженого житла за програмою ""єВідновлення"" Компенсація передбачена для власників приватних будинків і квартир, які містяться на звільненій території і де не було зроблено ремонт власними силами. ЧИТАТИ","[""Як отримати грошову допомогу на ремонт пошкодженого житла за програмою \""єВідновлення\"" Компенсація передбачена для власників приватних будинків і квартир, які містяться на звільненій території і де не було зроблено ремонт власними силами."", ""ЧИТАТИ""]",Question / Request for Help
16722,"Обов'язково потрібно брати екскурсію тільки так можна потрапити усередину. Дуже гарне місце, рекомендую подивитися!","[""Обов'язково потрібно брати екскурсію тільки так можна потрапити усередину."", ""Дуже гарне місце, рекомендую подивитися!""]",Suggestion / Idea
7126,"Я все написала у книзі скарг! По телефону три дні надавали брехливу інформацію. 2 дні поспіль дівчинки ""на місці"" хамили. Вкрай не рекомендую.","[""Я все написала у книзі скарг!"", ""По телефону три дні надавали брехливу інформацію. 2 дні поспіль дівчинки \""на місці\"" хамили."", ""Вкрай не рекомендую.""]",Complaint / Dissatisfaction
10001037,"Алісо, радимо очікувати на розширення програми єВідновлення.","[""Алісо, радимо очікувати на розширення програми єВідновлення.""]",Suggestion / Idea
1004,"Дякую і низький уклін усьому викладацькому складу! І, звичайно ж, Перемоги! Слава Україні!","[""Дякую і низький уклін усьому викладацькому складу!"", ""І, звичайно ж, Перемоги!"", ""Слава Україні!""]",Gratitude / Positive Feedback
10004559,Можна проконсультуватися у особистих повідомленнях?,"[""Можна проконсультуватися у особистих повідомленнях?""]",Question / Request for Help
10005853,"Якщо ми не встигли вступити в права після смерті родителей, заяву писали у нотаріуса, наслідників окрім мене, містер та брата немає. Потім треба було їхати до нотаріуса 25.02.22...","[""Якщо ми не встигли вступити в права після смерті родителей, заяву писали у нотаріуса, наслідників окрім мене, містер та брата немає."", ""Потім треба було їхати до нотаріуса 25.02.22...""]",Question / Request for Help
7318,Контактний номер телефону підкажете ? А ще краще Пологівського Загсу?,"[""Контактний номер телефону підкажете ?"", ""А ще краще Пологівського Загсу?""]",Question / Request for Help
16550,Дуже гарне місце! Обов'язково додайте його до свого туристичного блокноту 🤗 Увійти до університетського парку можна через центральний корпус 🏞️…,"[""Дуже гарне місце!"", ""Обов'язково додайте його до свого туристичного блокноту 🤗 Увійти до університетського парку можна через центральний корпус 🏞️…""]",Suggestion / Idea
10005618,Дуже цікаво! Побільше б книг у електронному форматі),"[""Дуже цікаво!"", ""Побільше б книг у електронному форматі)""]",Suggestion / Idea
531,"Двоякі враження про управління у заводському районі. У кабінеті консультанта все пояснюють виразно, докладно та з усіма можливими нюансами. А у 2 кабінеті де приймають документи і повинні так само консультувати будь-яке, навіть найпростіше…","[""Двоякі враження про управління у заводському районі."", ""У кабінеті консультанта все пояснюють виразно, докладно та з усіма можливими нюансами."", ""А у 2 кабінеті де приймають документи і повинні так само консультувати будь-яке, навіть найпростіше…""]",Complaint / Dissatisfaction
15415,За роботу і терплячість працівників п'ять зірочок. Але ж навантаження на них велике!!! Візьміть ще працівників щоб зменшити черги і підвищити продуктивність роботи !!!!,"[""За роботу і терплячість працівників п'ять зірочок."", ""Але ж навантаження на них велике!!!"", ""Візьміть ще працівників щоб зменшити черги і підвищити продуктивність роботи !!!!""]",Suggestion / Idea
10005388,"Доброго дня. Чи є тут люди, в яких пошкоджений будинок та хто оформлював через дію єВідновлення. Відгукніться, будь ласка, в ПП. Дякую","[""Доброго дня."", ""Чи є тут люди, в яких пошкоджений будинок та хто оформлював через дію єВідновлення."", ""Відгукніться, будь ласка, в ПП."", ""Дякую""]",Question / Request for Help
14539,"Исторична будівля, яка і сьогодні виконує свої функції.","[""Исторична будівля, яка і сьогодні виконує свої функції.""]",Neutral Comment
14909,"Ратуша - це обов'язкова для відвідування пам'ятка Львова. Не потрібно лякатися її висоти і кількості сходів, які доведеться подолати, повірте - воно того варте. Якщо дозволить час, підніміться на неї двічі: вдень або вранці і після заходу сонця. Це дві різні картини, два різні враження.","[""Ратуша - це обов'язкова для відвідування пам'ятка Львова."", ""Не потрібно лякатися її висоти і кількості сходів, які доведеться подолати, повірте - воно того варте."", ""Якщо дозволить час, підніміться на неї двічі: вдень або вранці і після заходу сонця."", ""Це дві різні картини, два різні враження.""]",Suggestion / Idea
