text_id,label
8352,Complaint / Dissatisfaction
13704,Neutral Comment
14907,Neutral Comment
7583,Neutral Comment
10002229,Question / Request for Help
10004350,Question / Request for Help
16722,Suggestion / Idea
13219,Gratitude / Positive Feedback
8165,Complaint / Dissatisfaction
4272,Neutral Comment
14808,Neutral Comment
10005832,Suggestion / Idea
607,Question / Request for Help
16481,Gratitude / Positive Feedback
10005462,Suggestion / Idea
3695,Question / Request for Help
10003301,Question / Request for Help
3098,Suggestion / Idea
15885,Neutral Comment
8317,Neutral Comment
11570,Complaint / Dissatisfaction
10005998,Question / Request for Help
10927,Neutral Comment
14915,Neutral Comment
10005972,Neutral Comment
12204,Gratitude / Positive Feedback
6590,Complaint / Dissatisfaction
15884,Complaint / Dissatisfaction
10005853,Question / Request for Help
14795,Gratitude / Positive Feedback
17363,Gratitude / Positive Feedback
8697,Gratitude / Positive Feedback
2051,Gratitude / Positive Feedback
1630,Neutral Comment
5043,Gratitude / Positive Feedback
4248,Complaint / Dissatisfaction
2774,Complaint / Dissatisfaction
14006,Gratitude / Positive Feedback
15415,Suggestion / Idea
10005736,Question / Request for Help
17518,Gratitude / Positive Feedback
14532,Neutral Comment
10000639,Suggestion / Idea
10004160,Question / Request for Help
14854,Neutral Comment
7360,Neutral Comment
10004238,Question / Request for Help
14013,Complaint / Dissatisfaction
2737,Question / Request for Help
16848,Question / Request for Help
5938,Neutral Comment
16629,Suggestion / Idea
11264,Gratitude / Positive Feedback
10518,Complaint / Dissatisfaction
7983,Gratitude / Positive Feedback
10000207,Question / Request for Help
10005382,Suggestion / Idea
10005313,Question / Request for Help
8596,Gratitude / Positive Feedback
6791,Neutral Comment
6248,Complaint / Dissatisfaction
7572,Complaint / Dissatisfaction
14875,Neutral Comment
2963,Suggestion / Idea
5603,Gratitude / Positive Feedback
6010,Complaint / Dissatisfaction
8887,Complaint / Dissatisfaction
15923,Neutral Comment
14787,Neutral Comment
15001,Neutral Comment
15021,Neutral Comment
3429,Complaint / Dissatisfaction
16507,Suggestion / Idea
10841,Complaint / Dissatisfaction
12656,Gratitude / Positive Feedback
10004407,Suggestion / Idea
10004776,Suggestion / Idea
11433,Suggestion / Idea
10005407,Question / Request for Help
4780,Neutral Comment
10001459,Question / Request for Help
14610,Complaint / Dissatisfaction
10475,Complaint / Dissatisfaction
5506,Gratitude / Positive Feedback
15071,Neutral Comment
10499,Complaint / Dissatisfaction
13293,Complaint / Dissatisfaction
8626,Gratitude / Positive Feedback
557,Complaint / Dissatisfaction
14529,Neutral Comment
16084,Suggestion / Idea
4102,Neutral Comment
10005258,Question / Request for Help
13650,Complaint / Dissatisfaction
14608,Neutral Comment
14486,Complaint / Dissatisfaction
14618,Neutral Comment
10635,Neutral Comment
10003046,Suggestion / Idea
16788,Suggestion / Idea
10002589,Question / Request for Help
6844,Complaint / Dissatisfaction
2881,Gratitude / Positive Feedback
10005241,Suggestion / Idea
11117,Question / Request for Help
10003889,Suggestion / Idea
10001228,Question / Request for Help
11256,Gratitude / Positive Feedback
16870,Suggestion / Idea
10004103,Question / Request for Help
2369,Gratitude / Positive Feedback
15481,Neutral Comment
13547,Gratitude / Positive Feedback
237,Complaint / Dissatisfaction
16101,Gratitude / Positive Feedback
10005935,Question / Request for Help
10990,Gratitude / Positive Feedback
14569,Complaint / Dissatisfaction
10003496,Suggestion / Idea
2927,Complaint / Dissatisfaction
987,Gratitude / Positive Feedback
365,Question / Request for Help
10001773,Suggestion / Idea
12025,Gratitude / Positive Feedback
16668,Neutral Comment
13745,Neutral Comment
10002040,Suggestion / Idea
13346,Gratitude / Positive Feedback
10005884,Question / Request for Help
3533,Complaint / Dissatisfaction
9294,Neutral Comment
14104,Complaint / Dissatisfaction
10004304,Question / Request for Help
10404,Gratitude / Positive Feedback
15059,Suggestion / Idea
3486,Neutral Comment
13440,Complaint / Dissatisfaction
13520,Complaint / Dissatisfaction
10005339,Question / Request for Help
1281,Neutral Comment
8160,Complaint / Dissatisfaction
13970,Gratitude / Positive Feedback
12399,Gratitude / Positive Feedback
4577,Neutral Comment
16007,Complaint / Dissatisfaction
14961,Suggestion / Idea
5139,Neutral Comment
3539,Suggestion / Idea
2498,Neutral Comment
2020,Complaint / Dissatisfaction
8985,Complaint / Dissatisfaction
3404,Neutral Comment
10001275,Question / Request for Help
8146,Complaint / Dissatisfaction
12137,Suggestion / Idea
10084,Suggestion / Idea
17930,Gratitude / Positive Feedback
7192,Gratitude / Positive Feedback
8902,Complaint / Dissatisfaction
11434,Gratitude / Positive Feedback
6030,Complaint / Dissatisfaction
10695,Suggestion / Idea
10001589,Suggestion / Idea
10005606,Question / Request for Help
3965,Gratitude / Positive Feedback
15046,Neutral Comment
10002365,Question / Request for Help
13844,Gratitude / Positive Feedback
12347,Gratitude / Positive Feedback
1708,Suggestion / Idea
6603,Complaint / Dissatisfaction
8011,Complaint / Dissatisfaction
10000422,Question / Request for Help
6313,Complaint / Dissatisfaction
16805,Gratitude / Positive Feedback
10005448,Suggestion / Idea
3977,Complaint / Dissatisfaction
8213,Neutral Comment
12176,Gratitude / Positive Feedback
10003537,Question / Request for Help
14187,Gratitude / Positive Feedback
9469,Complaint / Dissatisfaction
3525,Suggestion / Idea
10004612,Question / Request for Help
14620,Suggestion / Idea
7359,Neutral Comment
16124,Neutral Comment
10003268,Question / Request for Help
11662,Complaint / Dissatisfaction
7529,Complaint / Dissatisfaction
12634,Gratitude / Positive Feedback
6771,Suggestion / Idea
10002269,Question / Request for Help
10003613,Question / Request for Help
15893,Suggestion / Idea
17010,Complaint / Dissatisfaction
12975,Gratitude / Positive Feedback
10002101,Question / Request for Help
11674,Neutral Comment
10005214,Question / Request for Help
9899,Complaint / Dissatisfaction
15845,Complaint / Dissatisfaction
6476,Gratitude / Positive Feedback
13087,Gratitude / Positive Feedback
10001329,Question / Request for Help
14686,Suggestion / Idea
13527,Complaint / Dissatisfaction
10943,Complaint / Dissatisfaction
10002106,Question / Request for Help
10005309,Question / Request for Help
6680,Complaint / Dissatisfaction
994,Gratitude / Positive Feedback
10004249,Question / Request for Help
10004916,Question / Request for Help
10000894,Question / Request for Help
3604,Question / Request for Help
14909,Suggestion / Idea
14796,Neutral Comment
5706,Suggestion / Idea
10949,Complaint / Dissatisfaction
10000173,Suggestion / Idea
11654,Complaint / Dissatisfaction
11249,Suggestion / Idea
11307,Complaint / Dissatisfaction
15677,Complaint / Dissatisfaction
16904,Neutral Comment
15000,Complaint / Dissatisfaction
14517,Suggestion / Idea
10001487,Suggestion / Idea
1900,Neutral Comment
16020,Suggestion / Idea
16887,Neutral Comment
6197,Gratitude / Positive Feedback
10002176,Question / Request for Help
10003810,Suggestion / Idea
13976,Gratitude / Positive Feedback
14572,Complaint / Dissatisfaction
14959,Suggestion / Idea
16918,Neutral Comment
15063,Suggestion / Idea
11649,Gratitude / Positive Feedback
5342,Gratitude / Positive Feedback
7414,Complaint / Dissatisfaction
14632,Suggestion / Idea
2163,Gratitude / Positive Feedback
8222,Neutral Comment
15936,Suggestion / Idea
10003149,Suggestion / Idea
10005388,Question / Request for Help
15042,Suggestion / Idea
10482,Complaint / Dissatisfaction
11441,Suggestion / Idea
14503,Suggestion / Idea
1408,Neutral Comment
16072,Suggestion / Idea
10003172,Suggestion / Idea
17014,Neutral Comment
13943,Suggestion / Idea
7126,Complaint / Dissatisfaction
14969,Suggestion / Idea
2659,Complaint / Dissatisfaction
14910,Suggestion / Idea
15862,Suggestion / Idea
10002688,Question / Request for Help
17319,Complaint / Dissatisfaction
15968,Gratitude / Positive Feedback
10000591,Question / Request for Help
4282,Complaint / Dissatisfaction
187,Neutral Comment
89,Neutral Comment
10002716,Question / Request for Help
17559,Neutral Comment
10000504,Question / Request for Help
10005385,Question / Request for Help
16147,Complaint / Dissatisfaction
4620,Complaint / Dissatisfaction
3046,Complaint / Dissatisfaction
488,Neutral Comment
8646,Suggestion / Idea
14048,Gratitude / Positive Feedback
10005177,Question / Request for Help
14882,Suggestion / Idea
10001363,Question / Request for Help
7806,Complaint / Dissatisfaction
10005780,Suggestion / Idea
16074,Complaint / Dissatisfaction
17928,Neutral Comment
13746,Question / Request for Help
708,Gratitude / Positive Feedback
14079,Gratitude / Positive Feedback
10002786,Question / Request for Help
10642,Neutral Comment
10002394,Question / Request for Help
10004434,Question / Request for Help
14527,Suggestion / Idea
13494,Gratitude / Positive Feedback
10003294,Question / Request for Help
17222,Gratitude / Positive Feedback
2651,Neutral Comment
10599,Complaint / Dissatisfaction
10002719,Question / Request for Help
10005075,Question / Request for Help
10001838,Suggestion / Idea
13918,Neutral Comment
15072,Suggestion / Idea
14948,Neutral Comment
8361,Complaint / Dissatisfaction
1610,Complaint / Dissatisfaction
5942,Question / Request for Help
10001473,Suggestion / Idea
9921,Question / Request for Help
10002906,Question / Request for Help
16503,Gratitude / Positive Feedback
12910,Neutral Comment
4278,Gratitude / Positive Feedback
3815,Complaint / Dissatisfaction
2031,Complaint / Dissatisfaction
14782,Suggestion / Idea
10005418,Question / Request for Help
8447,Complaint / Dissatisfaction
5302,Suggestion / Idea
2513,Complaint / Dissatisfaction
10003017,Question / Request for Help
11160,Gratitude / Positive Feedback
16514,Gratitude / Positive Feedback
10699,Neutral Comment
11062,Complaint / Dissatisfaction
8097,Complaint / Dissatisfaction
7690,Gratitude / Positive Feedback
16214,Neutral Comment
8904,Gratitude / Positive Feedback
530,Neutral Comment
15045,Suggestion / Idea
10005992,Question / Request for Help
10602,Suggestion / Idea
14832,Suggestion / Idea
14510,Suggestion / Idea
6773,Complaint / Dissatisfaction
10005217,Question / Request for Help
4242,Neutral Comment
10002108,Question / Request for Help
10000920,Question / Request for Help
10004425,Question / Request for Help
7209,Suggestion / Idea
13279,Gratitude / Positive Feedback
10000617,Question / Request for Help
12886,Suggestion / Idea
10005739,Question / Request for Help
10005216,Suggestion / Idea
8780,Suggestion / Idea
10002166,Question / Request for Help
9065,Suggestion / Idea
10004559,Question / Request for Help
11887,Gratitude / Positive Feedback
15061,Suggestion / Idea
4014,Neutral Comment
15243,Gratitude / Positive Feedback
296,Suggestion / Idea
9495,Neutral Comment
92,Neutral Comment
8371,Complaint / Dissatisfaction
10003146,Question / Request for Help
15298,Gratitude / Positive Feedback
2021,Suggestion / Idea
10001201,Question / Request for Help
10004216,Question / Request for Help
3734,Gratitude / Positive Feedback
16014,Suggestion / Idea
10000628,Suggestion / Idea
9245,Gratitude / Positive Feedback
1713,Question / Request for Help
10001377,Question / Request for Help
8796,Gratitude / Positive Feedback
10005941,Question / Request for Help
1012,Neutral Comment
6501,Suggestion / Idea
10005801,Question / Request for Help
8499,Gratitude / Positive Feedback
9023,Gratitude / Positive Feedback
10005665,Question / Request for Help
10002709,Question / Request for Help
10000099,Question / Request for Help
4575,Gratitude / Positive Feedback
418,Gratitude / Positive Feedback
13966,Gratitude / Positive Feedback
13286,Gratitude / Positive Feedback
545,Suggestion / Idea
16194,Suggestion / Idea
16704,Neutral Comment
12113,Gratitude / Positive Feedback
3696,Neutral Comment
10002639,Question / Request for Help
16736,Suggestion / Idea
14575,Suggestion / Idea
14898,Suggestion / Idea
10005303,Question / Request for Help
15023,Suggestion / Idea
14868,Suggestion / Idea
10005731,Question / Request for Help
15026,Suggestion / Idea
14094,Neutral Comment
10003774,Suggestion / Idea
14815,Neutral Comment
10002485,Question / Request for Help
556,Complaint / Dissatisfaction
11919,Gratitude / Positive Feedback
10005826,Question / Request for Help
15754,Complaint / Dissatisfaction
8187,Neutral Comment
7379,Complaint / Dissatisfaction
4358,Neutral Comment
1217,Complaint / Dissatisfaction
10001980,Question / Request for Help
15036,Suggestion / Idea
10003363,Suggestion / Idea
10003540,Suggestion / Idea
13101,Suggestion / Idea
10004638,Question / Request for Help
13548,Complaint / Dissatisfaction
687,Neutral Comment
6864,Gratitude / Positive Feedback
10001723,Question / Request for Help
3720,Neutral Comment
10002039,Question / Request for Help
3167,Neutral Comment
15984,Neutral Comment
10001789,Suggestion / Idea
7088,Gratitude / Positive Feedback
4872,Gratitude / Positive Feedback
10005165,Question / Request for Help
13968,Gratitude / Positive Feedback
10004944,Question / Request for Help
10002919,Suggestion / Idea
17890,Gratitude / Positive Feedback
5114,Complaint / Dissatisfaction
10001856,Question / Request for Help
10000046,Question / Request for Help
7323,Suggestion / Idea
10001643,Question / Request for Help
10004550,Question / Request for Help
2758,Neutral Comment
10003807,Question / Request for Help
10004902,Question / Request for Help
4334,Complaint / Dissatisfaction
14668,Suggestion / Idea
10002984,Question / Request for Help
6749,Neutral Comment
4623,Neutral Comment
13729,Neutral Comment
8871,Complaint / Dissatisfaction
10899,Complaint / Dissatisfaction
10004202,Question / Request for Help
16025,Suggestion / Idea
10049,Gratitude / Positive Feedback
679,Complaint / Dissatisfaction
8889,Complaint / Dissatisfaction
15858,Suggestion / Idea
3737,Gratitude / Positive Feedback
1578,Neutral Comment
10003704,Question / Request for Help
6341,Gratitude / Positive Feedback
4550,Gratitude / Positive Feedback
4604,Neutral Comment
10003153,Question / Request for Help
12103,Gratitude / Positive Feedback
10485,Neutral Comment
248,Neutral Comment
7573,Complaint / Dissatisfaction
3044,Complaint / Dissatisfaction
1600,Neutral Comment
10002960,Question / Request for Help
4654,Complaint / Dissatisfaction
10003555,Suggestion / Idea
7063,Neutral Comment
10001105,Suggestion / Idea
14514,Suggestion / Idea
13681,Complaint / Dissatisfaction
10004019,Suggestion / Idea
7366,Complaint / Dissatisfaction
531,Complaint / Dissatisfaction
10803,Complaint / Dissatisfaction
15892,Neutral Comment
3883,Gratitude / Positive Feedback
8103,Complaint / Dissatisfaction
10003307,Question / Request for Help
3462,Gratitude / Positive Feedback
15633,Question / Request for Help
6067,Complaint / Dissatisfaction
14799,Suggestion / Idea
11711,Gratitude / Positive Feedback
10000463,Question / Request for Help
1260,Question / Request for Help
10000595,Question / Request for Help
11845,Gratitude / Positive Feedback
10003508,Question / Request for Help
5494,Gratitude / Positive Feedback
10000441,Question / Request for Help
8393,Neutral Comment
16777,Neutral Comment
96,Suggestion / Idea
10002770,Suggestion / Idea
10001037,Suggestion / Idea
8609,Gratitude / Positive Feedback
5106,Gratitude / Positive Feedback
11531,Complaint / Dissatisfaction
6078,Neutral Comment
10002173,Question / Request for Help
3104,Neutral Comment
10000167,Question / Request for Help
15669,Neutral Comment
11067,Suggestion / Idea
10000769,Question / Request for Help
8131,Complaint / Dissatisfaction
14568,Neutral Comment
7664,Gratitude / Positive Feedback
6888,Complaint / Dissatisfaction
5023,Suggestion / Idea
10003459,Suggestion / Idea
5983,Neutral Comment
1345,Complaint / Dissatisfaction
10056,Gratitude / Positive Feedback
1637,Complaint / Dissatisfaction
10005425,Question / Request for Help
16500,Neutral Comment
2215,Neutral Comment
4245,Neutral Comment
7175,Gratitude / Positive Feedback
11423,Complaint / Dissatisfaction
15854,Gratitude / Positive Feedback
15969,Suggestion / Idea
11266,Neutral Comment
11295,Gratitude / Positive Feedback
10004373,Question / Request for Help
268,Gratitude / Positive Feedback
618,Complaint / Dissatisfaction
7590,Gratitude / Positive Feedback
6616,Question / Request for Help
9514,Gratitude / Positive Feedback
13896,Gratitude / Positive Feedback
728,Complaint / Dissatisfaction
14624,Suggestion / Idea
10425,Suggestion / Idea
13831,Question / Request for Help
14528,Suggestion / Idea
8230,Neutral Comment
12243,Suggestion / Idea
11359,Neutral Comment
15922,Suggestion / Idea
12070,Gratitude / Positive Feedback
8963,Neutral Comment
14779,Suggestion / Idea
4,Neutral Comment
14480,Question / Request for Help
8057,Complaint / Dissatisfaction
10000522,Question / Request for Help
10000564,Question / Request for Help
3924,Neutral Comment
8229,Question / Request for Help
14494,Neutral Comment
7010,Complaint / Dissatisfaction
4154,Neutral Comment
11309,Neutral Comment
14604,Suggestion / Idea
10002501,Question / Request for Help
9128,Gratitude / Positive Feedback
13652,Complaint / Dissatisfaction
1843,Gratitude / Positive Feedback
16923,Neutral Comment
15681,Complaint / Dissatisfaction
16094,Gratitude / Positive Feedback
14818,Suggestion / Idea
8438,Complaint / Dissatisfaction
1004,Gratitude / Positive Feedback
10004716,Suggestion / Idea
11681,Neutral Comment
10981,Neutral Comment
14788,Gratitude / Positive Feedback
10005081,Question / Request for Help
1695,Gratitude / Positive Feedback
10004660,Question / Request for Help
253,Complaint / Dissatisfaction
10002537,Question / Request for Help
10004795,Suggestion / Idea
540,Complaint / Dissatisfaction
14855,Gratitude / Positive Feedback
1872,Complaint / Dissatisfaction
